"id","created_at","subject_matter","topic_description","level","question","type","answer_correct","explanation","answer_a","answer_b","answer_c","answer_d"
"443","2024-09-22 12:31:51.776774+00","Probability","Choosing the right effect size","2 - Understand","When comparing the means of two groups, which effect size measure would you use?","multiple_options","c","Cohen's d is specifically used for comparing means of two groups. Pearson's r measures linear correlation, Eta-squared is for measuring the proportion of variance explained by a factor in ANOVA, and Odds Ratio is used for comparing the odds of an event occurring in two groups. ","Pearson's r","Eta-squared","Odds Ratio","Cohen's d"
"446","2024-09-22 12:31:51.776774+00","Probability","Calculating R-squared","2 - Understand","What does 'SSR' represent in the formula for calculating R-squared:  $$R^2 = rac{SSR}{SST}$$? ","multiple_options","b","SSR stands for Sum of Squares Regression, which represents the explained variance in the dependent variable. Option a is incorrect because SSR represents the explained variance, not the unexplained variance. Option c is incorrect because SST represents the total variance. Option d is incorrect because the Standard Error of the Regression is a different statistical measure.","Sum of Squares Residual","Sum of Squares Regression","Standard Error of the Regression","Sum of Squares Total"
"451","2024-09-22 12:31:51.993054+00","Probability","Interpreting R-squared value","3 - Apply","A researcher finds an R-squared value of 0.64 for a regression model predicting student performance based on study hours. What does this R-squared value tell us?","multiple_options","b","The correct answer is **b**. R-squared represents the proportion of variance in the dependent variable (student performance) explained by the independent variable (study hours).  \n\nOption **a** is incorrect because it reverses the relationship.  \n\nOption **c** is incorrect because R-squared does not directly relate to the percentage of students scoring above average. \n\nOption **d** is incorrect because R-squared is not a direct measure of model accuracy. It indicates the proportion of variance explained, not the overall predictive power.","64% of the variation in study hours is explained by student performance.","64% of the variation in student performance is explained by study hours.","The model predicts student performance with 64% accuracy.","64% of the students scored above average on the performance test."
"452","2024-09-22 12:31:51.993054+00","Probability","Calculating R-squared","3 - Apply","In a regression analysis, the total sum of squares (SST) is 100, and the sum of squares regression (SSR) is 60. What is the R-squared value for this model?","multiple_options","b","The correct answer is **b**. R-squared is calculated as SSR/SST. In this case, R-squared = 60/100 = 0.60. \n\nOption **a** is incorrect because it represents 1 - R-squared. \n\nOption **c** is incorrect because it is not the correct calculation for R-squared. \n\nOption **d** is incorrect because it is not the correct calculation for R-squared.","0.36","0.60","0.64","0.40"
"502","2024-09-22 12:31:52.9368+00","Probability","Interpreting AUC","2 - Understand","What does an AUC value of 0.75 imply about a binary classifier's performance?","multiple_options","c","An AUC of 0.75 indicates that the classifier performs better than random chance, which would be represented by an AUC of 0.5. However, it is not perfect, as a perfect classifier would have an AUC of 1. An AUC of 0.75 suggests a reasonably good ability to distinguish between the two classes, but not a flawless one.  An AUC value of 0.75 falls in the range of good classification performance.","The classifier performs worse than random chance.","The classifier is perfect, correctly classifying all instances.","The classifier is not capable of distinguishing between the two classes.","The classifier performs better than random chance, but not perfectly."
"460","2024-09-22 12:31:51.993054+00","Probability","R-squared and model improvement","3 - Apply","A researcher is trying to improve the fit of a regression model predicting customer satisfaction with a new product. The initial model has an R-squared of 0.55. The researcher adds a new variable to the model, and the R-squared increases to 0.62. What can we conclude about the addition of the new variable?","multiple_options","c","The correct answer is **c**. The increase in R-squared from 0.55 to 0.62 suggests that the new variable slightly improved the model's fit.  \n\nOption **a** is incorrect because the increase in R-squared indicates that the new variable is at least somewhat relevant. \n\nOption **b** is incorrect because the increase in R-squared is not a significant improvement; it is a moderate improvement. \n\nOption **d** is incorrect because the change in R-squared provides information about the impact of the new variable.","The new variable is not relevant to customer satisfaction.","The new variable significantly improved the model's fit.","We need more information to determine the impact of the new variable.","The new variable slightly improved the model's fit."
"485","2024-09-22 12:31:52.568957+00","Probability","R-squared limitations","6 - Create","A researcher is developing a model to predict student performance on a standardized test. They include several variables in the model, including socioeconomic status, school attendance, and hours spent studying. The model achieves a very high R-squared value.  What is a potential problem in interpreting this high R-squared value in the context of the model's predictive power?","multiple_options","c","The potential problem is that the model might not be capturing all the relevant factors that influence student performance (option c).  While R-squared indicates the proportion of variance explained by the included variables, it doesn't account for the potential influence of unmeasured variables that could also contribute significantly to the outcome. \n \n Option (a) is partially correct, but overfitting is a separate issue from the limitations of R-squared.  Overfitting occurs when the model is too complex and learns the noise in the data, leading to poor generalization.  \n \n Option (b) is incorrect.  A high R-squared value doesn't guarantee accurate prediction, especially if important variables are missing.  \n \n Option (d) is partially correct.  Bias can be a concern, but the main limitation here is the lack of accounting for unmeasured variables, which could be more significant than any potential biases. ","The model is likely overfitting the data, meaning it is too closely tailored to the training data and may not generalize well to new students.","A high R-squared value indicates a strong correlation between the variables, suggesting that the model can accurately predict student performance.","The model is likely biased, meaning it might be unfairly favoring certain students based on socioeconomic factors, rather than their actual academic abilities.","R-squared does not take into account the potential influence of other unmeasured variables, such as innate intelligence, which could affect student performance."
"470","2024-09-22 12:31:52.175207+00","Probability","Analysing the interplay of effect size and sample size","4 - Analyse","Two studies examine the effectiveness of a new medication for treating headaches. Study A has a larger sample size and reports a smaller Cohen's d than Study B, which has a smaller sample size. Which of the following statements is the most accurate comparison of the findings?","multiple_options","c","The effect size is influenced by both the magnitude of the effect and the sample size. A smaller sample size can lead to a larger effect size, even if the actual effect is the same. Therefore, comparing effect sizes across studies with different sample sizes can be misleading. Option A is incorrect because it misinterprets the relationship between sample size and effect size. Option B is incorrect for the same reason. Option D is incorrect because the differences in sample size make it difficult to directly compare the strength of evidence.","Study A shows a stronger effect of the medication than Study B.","Study B shows a stronger effect of the medication than Study A.","Both studies provide equally strong evidence for the medication's effectiveness.","The effect sizes cannot be directly compared due to differences in sample size."
"503","2024-09-22 12:31:52.9368+00","Probability","AUC and Effect Size Relationship","2 - Understand","How can effect sizes be utilized to interpret AUC values?","multiple_options","c","Effect sizes, like Cohen's d, provide a standardized measure of the effect's magnitude. This standardization helps in understanding the practical significance of an AUC value. A high AUC might correspond to a large Cohen's d, indicating a strong effect. Although there are methods to translate AUC into effect sizes, they are not always straightforward and may depend on the specific context. AUC is a measure of the classifier's ability to discriminate between classes, while effect sizes quantify the strength of the relationship between variables. They are not unrelated but complement each other in understanding the overall significance of research findings.","AUC values cannot be directly translated into effect sizes.","A high AUC value always implies a large effect size, regardless of the specific effect size measure.","Effect sizes and AUC are unrelated concepts and cannot be used to interpret each other.","Effect sizes provide a standardized way to understand the magnitude of the effect represented by a specific AUC value."
"490","2024-09-22 12:31:52.568957+00","Probability","Effect sizes and research design","6 - Create","Suppose you are conducting a study on the effectiveness of a new training program for improving employee productivity. You are considering two different research designs: one with a large sample size and the other with a smaller sample size.  How might the choice of sample size affect the effect size you obtain, and what implications might this have for interpreting your findings?","multiple_options","c","The correct answer is option (c). Sample size does not directly affect the true effect size, which represents the magnitude of the effect in the population.  However, sample size influences the statistical power of the study.  A larger sample size generally provides more statistical power, making it easier to detect a statistically significant result if there is a true effect.  \n \n Option (a) is incorrect. Sample size doesn't directly influence the effect size; it influences the statistical power to detect an existing effect.  \n \n Option (b) is partially correct in that a smaller sample size can make it harder to detect a statistically significant result, but it doesn't necessarily mean a smaller effect size.  \n \n Option (d) is partially correct. A larger sample size can reduce the influence of outliers and random variation, but it doesn't change the true effect size. ","A larger sample size will always lead to a larger effect size, making the results more statistically significant.","A smaller sample size will likely result in a smaller effect size, which might make it harder to detect a statistically significant difference even if there is a true effect.","A larger sample size will likely result in a more accurate effect size, reducing the influence of outliers and random variation.","The sample size does not affect the true effect size, but it influences the statistical power of the study, which determines the likelihood of finding a statistically significant result."
"504","2024-09-22 12:31:52.9368+00","Probability","AUC and ROC Curve","2 - Understand","The area under the ROC curve represents which probability?","multiple_options","c","The AUC represents the probability that a randomly chosen positive instance will be ranked higher than a randomly chosen negative instance by the classifier. It quantifies the classifier's ability to discriminate between positive and negative instances. Option A represents the false positive rate, while option B represents the false negative rate. Option D refers to the accuracy of the classifier, which is not directly represented by the AUC.","Probability that a randomly chosen negative instance will be classified as positive.","Probability that a randomly chosen positive instance will be classified as negative.","Probability of correctly classifying all instances in the dataset.","Probability that a randomly chosen positive instance will be ranked higher than a randomly chosen negative instance."
"557","2024-09-22 12:31:53.87477+00","Probability","Non-Independent Events","1 - Remember","Which scenario describes events that are NOT independent?","multiple_options","d","Choosing a marble from a bag, not replacing it, and then choosing another marble are dependent events because the probability of the second draw changes based on what marble was drawn first. \n\na) Flipping a coin twice are independent events because the outcome of one flip does not affect the outcome of the other. \n\nb) Drawing a card from a deck, replacing it, and then drawing another card are independent events because replacing the first card resets the probability for the second draw. \n\nc) Rolling a die twice are independent events because the outcome of one roll does not affect the outcome of the other.","Flipping a coin twice.","Drawing a card from a deck, replacing it, and then drawing another card.","Choosing a marble from a bag, not replacing it, and then choosing another marble.","Rolling a die and then rolling it again."
"619","2024-09-22 12:31:54.969949+00","Probability","Conditional Probability and Independence","1 - Remember","If two events are independent, then the conditional probability of one event given the other is:","multiple_options","c","The conditional probability of one event given the other is the same as its unconditional probability if the two events are independent.  This is because the occurrence of one event does not affect the probability of the other event. The other options are incorrect because they do not accurately describe the relationship between conditional and unconditional probabilities for independent events.","Always greater than the unconditional probability.","Always less than the unconditional probability.","Always equal to 1.","The same as the unconditional probability."
"519","2024-09-22 12:31:53.120883+00","Probability","Relating AUC to Practical Significance","3 - Apply","A new screening test for a specific disease has an AUC of 0.90.  While this suggests good discrimination, which additional factor is MOST IMPORTANT to consider when assessing the test's practical significance?","multiple_options","a","While a high AUC indicates good classification performance, practical significance also considers the cost-benefit analysis. If the test is expensive to administer, its practical value might be limited even with high accuracy. Options b, c, and d are less important factors in determining practical significance compared to cost. The number of participants in the study influences the reliability of the AUC estimate, but not its practical implication. The type of machine learning model and the time taken to complete the test are important considerations, but less critical than cost in determining practical significance.","The cost of administering the test.","The number of participants in the study.","The time taken to complete the test.","The type of machine learning model used."
"520","2024-09-22 12:31:53.120883+00","Probability","Interpreting Effect Sizes for Real-World Applications","3 - Apply","A study on the effectiveness of a new weight-loss program reports a Cohen's d of 0.25.  Which of the following interpretations is MOST ACCURATE in terms of practical significance?","multiple_options","c","A Cohen's d of 0.25 is generally considered a small effect size, suggesting a small but noticeable difference between the treatment and control groups. While not a major impact, it indicates that the weight-loss program may have a modest effect. Options a and b are incorrect as they overestimate the effect size. Option d is incorrect as a Cohen's d of 0.25 indicates some effect, albeit small.","The program is highly effective in promoting weight loss.","The program is moderately effective in promoting weight loss.","The program is not effective in promoting weight loss.","The program has a small but noticeable effect on weight loss."
"530","2024-09-22 12:31:53.312915+00","Probability","Interpreting effect sizes","4 - Analyse","A study reports an Odds Ratio of 2.5 for the association between smoking and lung cancer. How would you interpret this Odds Ratio?","multiple_options","c","The correct answer is **(c)**.  An Odds Ratio of 2.5 indicates that the odds of developing lung cancer are 2.5 times higher for smokers compared to non-smokers.  \n\n**Option (a)** is incorrect because the Odds Ratio measures odds, not likelihood.  \n\n**Option (b)** is incorrect because the Odds Ratio measures odds, not risk.  \n\n**Option (d)** is incorrect because the Odds Ratio of 2.5 indicates a higher, not lower, odds. ","Smokers are 2.5 times more likely to develop lung cancer than non-smokers.","Smokers have a 2.5 times higher risk of developing lung cancer compared to non-smokers.","The risk of developing lung cancer is 2.5 times lower for smokers compared to non-smokers.","The odds of developing lung cancer are 2.5 times higher for smokers compared to non-smokers."
"560","2024-09-22 12:31:53.87477+00","Probability","Identifying Independent Events","2 - Understand","Which of the following scenarios demonstrates independent events?","multiple_options","b","The correct answer is **(b) Rolling a die and then flipping a coin.** The outcome of the die roll does not influence the outcome of the coin flip. This is a classic example of independent events. \n\n**Why other options are incorrect:** \n\n* **(a) Drawing two cards from a deck without replacement:** The outcome of the first draw affects the probability of the second draw, making these events dependent. \n* **(c) Selecting a student from a class and then selecting another student from the same class without replacement:** The probability of selecting the second student is affected by the first selection, making them dependent. \n* **(d) Spinning a roulette wheel twice in a row:** The outcome of the first spin does not affect the outcome of the second spin, making them independent. However, the question states that the roulette wheel is spun *twice in a row* which implies that the event is dependent.","Drawing two cards from a deck without replacement, where the first card is a king and the second card is a queen.","Rolling a die and then flipping a coin.","Spinning a roulette wheel twice in a row.","Selecting a student from a class and then selecting another student from the same class without replacement."
"549","2024-09-22 12:31:53.686878+00","Probability","Interpreting Effect Sizes","6 - Create","Imagine a researcher is investigating the effect of a new educational program on student test scores. The program shows a significant positive effect with a Cohen's d of 0.20. Create a scenario where this small effect size might still be considered practically significant in a real-world educational setting.","multiple_options","b","The correct answer is (b). For students with specific learning disabilities, even a small improvement in test scores can have a significant positive impact on their academic progress and overall well-being.  (a) is incorrect because cost is a separate consideration from effect size; a small effect size might still be significant if the cost is justified by the potential benefits. (c) is incorrect because the effect size is still relevant to the students who chose to participate, even if it's not representative of the entire student population. (d) is incorrect because a large-scale initiative doesn't diminish the significance of the effect size; in fact, a small effect size can have a large impact when applied to a large number of students.","The educational program is very expensive and requires significant resources, making the small effect size less impactful considering the cost.","The educational program is targeted at students with specific learning disabilities, where even a small improvement in test scores can have a significant positive impact on their academic progress.","The educational program is implemented in a large-scale district-wide initiative, making the small effect size less impactful when considering the large number of students involved.","The educational program is optional and only a small percentage of students choose to participate, making the effect size less relevant to the overall student population."
"570","2024-09-22 12:31:54.056435+00","Probability","Identifying Independent Events","3 - Apply","A bag contains 5 red balls and 5 blue balls. You randomly select one ball, note its color, and then replace it. You then select another ball. Are the two selections independent events?","multiple_options","a","The selections are independent because the ball is replaced after the first selection. Replacing the ball restores the original probability distribution for the second selection, making the outcome of the second selection independent of the first. Option b is incorrect because the number of balls remains the same after replacement. Option c is incorrect because the probability of selecting a red or blue ball does not change with replacement, but this does not define independence. Option d is incorrect because the color of the first ball does not influence the second selection since the ball is replaced.","Yes, because the ball is replaced.","No, because the number of balls in the bag changes after the first selection.","No, because the color of the first ball influences the probability of selecting the same color in the second selection.","Yes, because the probability of selecting a red or blue ball remains the same for both selections."
"571","2024-09-22 12:31:54.237051+00","Probability","Identifying Independent Events","3 - Apply","You roll a fair six-sided die and then flip a coin. Are the two events independent?","multiple_options","a","The events are independent because the outcome of the die roll does not affect the outcome of the coin flip.  The events are independent because the outcome of one event does not affect the probability of the other. Option b is incorrect because the coin flip is not influenced by the die roll. Option c is incorrect because equal probabilities do not automatically mean independence. Option d is incorrect because the probabilities of specific outcomes on the die and coin are not relevant to independence.","Yes, because the outcome of rolling the die does not affect the outcome of flipping the coin.","No, because the outcome of the coin flip can be influenced by the number rolled on the die.","No, because the probability of getting a specific result on the die and a specific result on the coin are not equal.","Yes, because the probability of rolling a specific number on the die and flipping heads or tails are equal."
"572","2024-09-22 12:31:54.237051+00","Probability","Identifying Independent Events","3 - Apply","You draw two cards from a standard deck of 52 cards without replacement. Are the two draws independent events?","multiple_options","b","The draws are not independent because the probability of drawing a specific card on the second draw is affected by the card drawn first. This is because the first card is not replaced, meaning the deck has fewer cards, and the probability of drawing a specific card changes. Option a is incorrect because the probability of drawing a specific card does not remain the same after the first draw without replacement. Option c is incorrect because mutually exclusive events cannot occur simultaneously, and the two draws are not mutually exclusive. Option d is incorrect because the events are not mutually exclusive, but this does not mean they are independent.","Yes, because the probability of drawing any card remains the same for both draws.","No, because the probability of drawing a specific card on the second draw depends on what card was drawn first.","No, because the events are not mutually exclusive.","Yes, because the events are mutually exclusive."
"573","2024-09-22 12:31:54.237051+00","Probability","Identifying Independent Events","3 - Apply","You are playing a game where you roll a die and then flip a coin. If you roll a 6, you win automatically. Otherwise, you flip the coin and win if you get heads. Are rolling the die and flipping the coin independent events?","multiple_options","a","The events are independent because the outcome of the die roll does not affect the outcome of the coin flip. The events are independent because the outcome of one event does not affect the probability of the other.  Option b is incorrect because the winning condition depends on both events, but this does not make them dependent. Option c is incorrect because the probability of winning the game is not the same regardless of the die roll. Option d is correct because the die roll determines whether you need to flip the coin or not, making the coin flip dependent on the die roll.","Yes, because the outcome of the die roll does not affect the outcome of the coin flip.","No, because winning the game depends on both the die roll and the coin flip.","No, because the outcome of the die roll determines whether you need to flip the coin or not.","Yes, because the probability of winning the game is the same regardless of the outcome of the die roll."
"600","2024-09-22 12:31:54.602053+00","Probability","Identifying Independent Events","6 - Create","Imagine a scenario where you have two events, A and B, that are not inherently related. You are tasked with designing a system to assess the independence of these events. Propose a hypothetical experiment that would involve manipulating the conditions of event A to observe the effect on the probability of event B occurring. What would your experimental setup be, and how would you analyze the results to determine if A and B are independent?","multiple_options","a","The correct answer is (a). The experiment proposes manipulating the conditions of event A and observing the probability of event B. This is a valid method to test for independence, as it directly examines the influence of event A on the probability of event B. If the probabilities are significantly different across groups with different conditions for event A, it suggests that event A is not independent of event B. \nOption (b) only examines the probability of event B under varying conditions of event A, without explicitly manipulating the conditions of event A. This approach may not adequately capture the influence of event A on event B. \nOption (c) is incorrect because correlation does not imply causation, and events can be correlated without being independent. \nOption (d) relies on simulation, which can be helpful for exploring scenarios but may not accurately reflect real-world conditions.","Randomly assign participants to different groups, each experiencing different conditions for event A. Observe the probability of event B occurring in each group. If the probabilities are significantly different, then events A and B are not independent.","Conduct multiple trials of event A under varying conditions, recording the probability of event B occurring for each trial. If the probability of event B remains constant across all trials, then events A and B are independent.","Simulate event A multiple times using a computer program. Observe the probability of event B occurring in the simulation. If the probability of event B remains consistent across different simulations, then events A and B are independent.","Collect data on the occurrence of both events over a long period of time. Analyze the data to see if there is a correlation between events A and B. If a correlation exists, then events A and B are not independent."
"603","2024-09-22 12:31:54.797224+00","Probability","Non-Independent Events","6 - Create","In a hypothetical scenario, you are designing a system to predict the success or failure of a specific project. You have identified two key factors, A and B, that influence the project's outcome. Factor A represents the availability of resources, while factor B represents the team's expertise. Given that the team's expertise is likely to be influenced by the availability of resources, how would you address the non-independence of these factors in your prediction model?","multiple_options","d","The correct answer is (d). Bayesian networks are specifically designed to handle conditional dependencies between variables. By modeling the influence of factor A (resource availability) on factor B (team expertise), a Bayesian network can provide a more accurate prediction of project success. \nOption (a) is incorrect because assuming independence when it does not exist can lead to inaccurate predictions. \nOption (b) is incorrect because predicting each factor separately ignores the important relationship between them, leading to an incomplete understanding of the project's outcome. \nOption (c) is partially correct but creating a single combined variable may not fully capture the complex interplay between the factors.","Treat factors A and B as independent variables in your model, assuming that any correlation between them is negligible for the purpose of prediction.","Develop a separate model for each factor, predicting the likelihood of resource availability and team expertise separately. Combine these predictions to arrive at an overall project success prediction.","Use a statistical method like Bayesian networks to model the conditional dependencies between factors A and B. This allows the model to account for the influence of resource availability on team expertise, providing a more accurate prediction.","Introduce a new variable that represents the combined effect of both factors, considering the correlation between resource availability and team expertise. Use this combined variable in your prediction model."
"607","2024-09-22 12:31:54.797224+00","Probability","Probabilistic Independence","6 - Create","Imagine you are developing a medical diagnostic tool that uses a series of tests to identify a specific condition. Each test is designed to be independent of the others, meaning the outcome of one test does not influence the outcome of any other test. However, you suspect that the test results might be influenced by a common underlying factor that is not directly measured by the tests. How would you design your diagnostic tool to mitigate the potential impact of this unmeasured factor and maintain the desired independence between tests?","multiple_options","c","The correct answer is (c). Factor analysis is a statistical method that can identify and control for unmeasured factors that might be influencing observed variables. By identifying and controlling for the unmeasured factor, you can ensure that the test results are truly independent of each other, even if the underlying factor is influencing them. \nOption (a) is incorrect because a control group only helps compare results between groups but does not address the underlying influence of the unmeasured factor. \nOption (b) is incorrect because developing separate models for each test ignores the potential influence of the unmeasured factor, which may be common across all tests. \nOption (d) is partially correct, but introducing a new test may not be feasible or practical in all cases.","Include a control group in your study to compare the test results of patients with the condition to those without the condition. This will help to isolate the effects of the unmeasured factor.","Develop a separate model for each test that predicts the outcome based solely on the test results. Combine these individual predictions to arrive at a final diagnosis.","Introduce a new test that specifically measures the unmeasured factor. This will allow you to account for its influence on the other tests and maintain the desired independence.","Use a statistical method like factor analysis to identify and control for the unmeasured factor. This will ensure that the test results are truly independent of each other."
"630","2024-09-22 12:31:55.1494+00","Probability","Conditional probability in independent events","3 - Apply","You are rolling a standard six-sided die twice. What is the probability of getting a 6 on the first roll and a 4 on the second roll?","multiple_options","a","Since each die roll is independent, the probability of getting a 6 on the first roll and a 4 on the second roll is simply the product of their individual probabilities.  The probability of getting a 6 on the first roll is 1/6. The probability of getting a 4 on the second roll is also 1/6. So, the probability of both events happening is (1/6) * (1/6) = 1/36. Option b is incorrect as it only represents the probability of one specific roll. Option c is incorrect as it represents the probability of two specific rolls (6 and 4) but does not account for the independence of the events. Option d is incorrect as it represents the probability of getting any number on the first roll and any number on the second roll.","1/36","1/6","1/2","1/12"
"631","2024-09-22 12:31:55.327738+00","Probability","Multiplication rule for independent events","3 - Apply","You are playing a game where you flip a coin three times. You win if you get at least two heads. What is the probability of winning this game?","multiple_options","b","To win, you need either two heads and one tail or three heads.  Each coin flip is independent. The probability of getting two heads and one tail is  3 * (1/2) * (1/2) * (1/2) = 3/8 (we multiply by 3 because there are three different orders in which this can happen: HHT, HTH, THH). The probability of getting three heads is (1/2) * (1/2) * (1/2) = 1/8. The probability of winning is the sum of these two probabilities: 3/8 + 1/8 = 3/8. Option a is incorrect as it only accounts for the probability of getting two heads. Option c is incorrect as it only accounts for the probability of getting three heads. Option d is incorrect as it only represents the probability of getting one specific sequence of two heads and one tail.","1/2","3/8","1/8","1/4"
"632","2024-09-22 12:31:55.327738+00","Probability","Bernoulli distribution in independent events","3 - Apply","A machine produces light bulbs with a 1% defect rate. What is the probability that exactly one defective bulb is found in a sample of 100 bulbs, assuming the defect rate is independent for each bulb?","multiple_options","b","This scenario can be modeled using the Bernoulli distribution, where each bulb has a probability of 0.01 of being defective. The probability of exactly one defective bulb in a sample of 100 bulbs can be calculated using the binomial probability formula. In this case, the probability of getting one defective bulb in a sample of 100 bulbs is given by (100 choose 1) * 0.01^1 * (0.99)^99, which is approximately equal to 0.368. Option a is incorrect as it only represents the probability of a single bulb being defective. Option c is incorrect as it represents the probability of a single bulb not being defective. Option d is incorrect as it represents the probability of all the bulbs not being defective.","0.01","0.368","0.99","0.0099"
"635","2024-09-22 12:31:55.327738+00","Probability","Multiplication rule for independent events","3 - Apply","A company has three different production lines. Each line has a 90% chance of operating successfully without any issues. What is the probability that all three lines will operate successfully?","multiple_options","b","Since the three lines are independent, the probability of all three operating successfully is the product of their individual probabilities. Therefore, the probability is 0.9 * 0.9 * 0.9 = 0.729. Option a is incorrect as it only represents the probability of a single line operating successfully. Option c is incorrect as it represents the probability of at least one line not operating successfully. Option d is incorrect as it is the probability of one production line not operating successfully.","0.9","0.729","0.99","0.271"
"679","2024-09-22 12:31:56.063544+00","Probability","Generative models applications","1 - Remember","Which of the following applications is NOT a potential use case for generative models?","multiple_options","c","The correct answer is **c**. Predicting stock market prices is typically addressed using time series analysis and predictive models. Options **a**, **b**, and **d** are all valid applications of generative models.","Generating realistic images of nonexistent people.","Creating new musical compositions.","Generating realistic simulations for robot training.","Predicting stock market prices."
"675","2024-09-22 12:31:56.063544+00","Probability","Generative models applications","1 - Remember","Which of the following is NOT a typical application of generative models?","multiple_options","b","The correct answer is **b**. Text summarization is typically achieved using discriminative models or other natural language processing techniques. Options **a**, **c**, and **d** are common applications of generative models.","Image generation","Text summarization","Drug discovery","Audio generation"
"676","2024-09-22 12:31:56.063544+00","Probability","Generative models advantages","1 - Remember","What is a significant advantage of generative models compared to discriminative models?","multiple_options","b","The correct answer is **b**. Generative models excel at generating new data samples, which can be beneficial for tasks like data augmentation or creating synthetic datasets. Option **a** can be true for both generative and discriminative models depending on the specific problem. Option **c** is often not the case, as generative models can be computationally expensive. Option **d** is not a significant advantage of generative models over discriminative models.","Better performance on high-dimensional data.","Ability to create new data samples.","More robust to noisy data.","Lower computational cost for training."
"649","2024-09-22 12:31:55.511372+00","Probability","Independence and Real-World Examples","4 - Analyse","A financial analyst is studying the relationship between stock prices and economic indicators. They observe that stock prices tend to rise when interest rates fall, and vice versa. Does this observation necessarily imply a causal relationship between interest rates and stock prices? Explain your reasoning.","multiple_options","b","The correct answer is (b). Correlation does not imply causation. The observed relationship between interest rates and stock prices could be due to a common underlying factor that influences both variables. For example, economic growth could lead to both lower interest rates (due to increased demand for borrowing) and higher stock prices (due to increased corporate profits). Option (a) is incorrect as correlation doesn't necessarily imply causation. Option (c) is incorrect because the analyst is not conducting a controlled experiment. Option (d) is irrelevant to the question of causation.","Yes, because the correlation between interest rates and stock prices suggests that interest rates directly influence stock prices.","No, because there could be other factors that influence both interest rates and stock prices, leading to a correlation without a causal relationship.","No, because the correlation between interest rates and stock prices is not statistically significant.","Yes, because the analyst observed the correlation between interest rates and stock prices in a controlled experiment."
"677","2024-09-22 12:31:56.063544+00","Probability","Generative models limitations","1 - Remember","What is a potential limitation of generative models?","multiple_options","c","The correct answer is **c**. Mode collapse is a common issue in generative models, where the model may produce only a limited range of outputs, failing to represent the full diversity of the underlying data distribution. Option **a** is a problem common to various machine learning models, not just generative models. Option **b** is not a fundamental limitation of generative models, as they can handle various data types. Option **d** is a challenge faced by many machine learning models, not specifically generative models.","Overfitting to the training data.","Inability to handle categorical data.","Sensitivity to hyperparameter tuning.","Mode collapse, where the model fails to capture the full diversity of the data distribution."
"738","2024-09-22 12:31:57.148923+00","Probability","Medical Diagnosis using Discriminative Models","1 - Remember","Which of the following is a potential application of discriminative models in healthcare?","multiple_options","b","Discriminative models can be applied in medical diagnosis to predict the presence or absence of diseases based on patient data.  Option 'a' is related to generative models. Option 'c' and 'd' are more related to drug discovery or clinical research.","Generating synthetic patient data.","Predicting the presence or absence of diseases.","Analyzing the effectiveness of existing treatments.","Developing new medical treatments."
"664","2024-09-22 12:31:55.878881+00","Probability","Applying independence to machine learning","6 - Create","You're training a machine learning model to predict customer satisfaction based on various product features. How could you use the concept of probabilistic independence to enhance the model's performance?","multiple_options","b","The correct answer is **b**.  Analyzing relationships between product features and customer satisfaction to identify potential dependencies is crucial for building a more accurate and reliable model. \n\n**a** is incorrect because assuming complete dependence might overfit the model and hinder its ability to generalize to new data. \n\n**c** is incorrect because focusing only on price is too narrow and overlooks other important features that influence customer satisfaction. \n\n**d** is incorrect because ignoring relationships between features might result in a model that is less accurate and doesn't capture the nuances of customer satisfaction.","Assume that all product features are completely dependent on each other and build a model based on this assumption.","Analyze the relationships between product features and customer satisfaction to identify potential dependencies, and incorporate them into the model.","Ignore the concept of independence and focus on maximizing the accuracy of the model without considering relationships between features.","Focus solely on the price of the product, assuming it's the primary determinant of customer satisfaction, ignoring other features."
"660","2024-09-22 12:31:55.692396+00","Probability","Applying independence to real-world scenarios","6 - Create","Imagine you're designing a system for detecting fraudulent credit card transactions. You want to incorporate a feature that analyzes the frequency of transactions at different locations. How would you apply the concept of probabilistic independence in this context?","multiple_options","b","The correct answer is **b**.  Analyzing historical data to check if there's a pattern of fraudulent transactions concentrated in specific locations will help determine if there's a dependency between transactions and locations. This information can be used to build a more robust fraud detection model. \n\n**a** is incorrect because assuming absolute independence between transactions at different locations may not be accurate. There could be patterns indicating dependencies. \n\n**c** is incorrect because ignoring location data might miss crucial information about fraud patterns. \n\n**d** is incorrect because assuming complete dependence might lead to overfitting and limit the model's ability to generalize to new data.","Assume that transactions at different locations are always independent and use this assumption to build a simple fraud detection model.","Analyze historical data to determine if there's a pattern of fraudulent transactions concentrated in specific locations, indicating potential dependencies.","Develop a model that assumes complete dependence between transactions at different locations, treating them as a single entity.","Ignore the concept of independence and focus solely on the total amount of transactions, regardless of location, to detect fraud."
